date,pm25,pm10,o3,no2,so2,co
15.12.2020,60,28,13,11,3,2
14.12.2020,47,39,11,19,1,3
13.12.2020,43,26,20,9,1,3
12.12.2020,157,30,23,4,1,2
11.12.2020,100,78,21,29,2,13
10.12.2020,154,54,14,27,2,6
09.12.2020,137,78,5,37,2,12
08.12.2020,75,74,4,32,2,9
07.12.2020,40,37,14,21,3,5
06.12.2020,110,28,22,7,1,2
05.12.2020,79,53,23,20,2,5
04.12.2020,40,36,17,22,3,4
03.12.2020,42,18,24,9,2,2
02.12.2020,70,20,25,9,1,2
01.12.2020,85,37,24,14,2,3
30.11.2020,67,41,14,20,1,3
29.11.2020,64,32,19,14,1,2
28.11.2020,51,33,21,15,2,3
27.11.2020,61,25,21,11,,1
26.11.2020,65,30,24,10,1,5
25.11.2020,81,37,13,23,1,6
24.11.2020,94,39,24,19,1,4
23.11.2020,55,42,11,24,2,4
22.11.2020,43,29,18,13,2,3
21.11.2020,93,15,21,5,,2
20.11.2020,41,58,20,21,,5
19.11.2020,41,20,23,10,,2
18.11.2020,111,16,20,7,,3
17.11.2020,182,,16,15,,11
16.11.2020,179,93,5,23,1,17
15.11.2020,170,88,9,36,4,16
14.11.2020,133,79,11,33,2,13
13.11.2020,67,74,2,33,1,9
12.11.2020,144,45,18,21,2,5
11.11.2020,193,86,22,35,2,10
10.11.2020,115,115,4,54,4,14
09.11.2020,77,65,13,29,2,8
08.11.2020,50,50,16,24,1,5
07.11.2020,90,36,20,13,1,3
06.11.2020,152,97,26,12,1,5
05.11.2020,176,98,25,35,,9
04.11.2020,121,99,9,46,2,12
03.11.2020,49,72,6,33,2,7
02.11.2020,35,34,19,16,,2
01.11.2020,58,46,23,10,,2
31.10.2020,163,57,24,10,,2
30.10.2020,142,149,21,27,,5
29.10.2020,114,65,27,26,1,6
28.10.2020,64,70,15,30,1,6
27.10.2020,36,49,20,22,1,3
26.10.2020,160,43,24,11,1,2
25.10.2020,168,93,30,32,2,8
24.10.2020,92,97,23,39,3,9
23.10.2020,39,59,25,22,2,5
22.10.2020,48,29,27,12,,2
21.10.2020,107,52,25,11,,2
20.10.2020,191,107,25,13,,3
19.10.2020,136,96,14,41,1,10
18.10.2020,96,70,25,29,1,9
17.10.2020,63,62,25,26,2,6
16.10.2020,58,48,24,20,1,3
15.10.2020,112,23,26,14,,3
14.10.2020,41,58,15,23,1,7
13.10.2020,55,35,16,15,2,4
12.10.2020,41,39,28,16,1,2
11.10.2020,85,26,22,12,,1
10.10.2020,197,25,25,12,,4
09.10.2020,179,79,61,25,1,9
08.10.2020,164,84,40,37,1,9
07.10.2020,150,72,14,36,1,8
06.10.2020,86,72,28,29,2,8
05.10.2020,31,46,26,18,2,4
04.10.2020,26,18,25,10,,1
03.10.2020,77,20,21,4,,1
02.10.2020,29,45,31,15,3,4
01.10.2020,134,21,24,6,,1
30.09.2020,67,51,24,15,,5
29.09.2020,62,30,23,13,,3
28.09.2020,167,18,26,9,,4
27.09.2020,155,70,73,22,1,8
26.09.2020,151,55,72,22,,7
25.09.2020,122,60,81,21,,7
24.09.2020,97,44,60,19,,7
23.09.2020,114,26,47,13,,6
22.09.2020,84,51,29,18,1,10
21.09.2020,112,43,36,18,1,5
20.09.2020,45,50,76,18,2,6
19.09.2020,57,27,40,12,,3
18.09.2020,46,38,69,17,,4
17.09.2020,30,25,29,16,1,4
16.09.2020,29,20,27,11,,3
15.09.2020,101,18,21,6,,2
14.09.2020,130,22,31,11,,7
13.09.2020,78,49,41,10,,5
12.09.2020,46,38,48,13,,5
11.09.2020,27,21,33,8,,4
