date,pm25,pm10,o3,no2,so2,co
16.12.2020,55,15,21,19,8,7
15.12.2020,118,20,23,27,10,8
14.12.2020,123,20,24,32,9,8
13.12.2020,40,18,27,26,11,7
12.12.2020,64,17,25,22,11,8
11.12.2020,53,23,16,33,11,8
10.12.2020,46,20,19,28,13,9
09.12.2020,53,20,15,18,10,9
08.12.2020,76,27,12,28,8,10
07.12.2020,63,30,5,30,9,13
06.12.2020,59,24,9,25,10,10
05.12.2020,48,21,16,22,8,9
04.12.2020,54,19,20,24,10,9
03.12.2020,55,16,17,28,13,10
02.12.2020,72,20,17,30,11,9
01.12.2020,49,30,6,32,6,10
30.11.2020,83,18,19,26,4,8
29.11.2020,99,28,19,21,4,9
28.11.2020,106,38,10,22,4,8
27.11.2020,87,44,1,26,6,9
26.11.2020,74,32,,27,7,10
25.11.2020,66,25,7,28,4,8
24.11.2020,55,24,17,21,5,5
23.11.2020,71,18,21,19,5,4
22.11.2020,46,26,16,24,2,7
21.11.2020,41,15,17,20,,5
20.11.2020,56,15,24,14,,4
19.11.2020,45,18,23,25,1,6
18.11.2020,50,17,25,22,,5
17.11.2020,43,20,25,16,,4
16.11.2020,41,17,25,16,,3
15.11.2020,38,17,25,18,1,4
14.11.2020,46,13,27,11,4,3
13.11.2020,52,17,24,14,2,3
12.11.2020,46,21,21,24,1,5
11.11.2020,49,17,24,22,1,5
10.11.2020,50,15,20,18,1,4
09.11.2020,66,16,16,23,1,5
08.11.2020,106,13,7,23,3,5
07.11.2020,98,29,2,18,4,7
06.11.2020,154,29,2,25,4,8
05.11.2020,105,46,4,31,4,12
04.11.2020,54,46,1,34,4,15
03.11.2020,48,18,10,29,3,9
02.11.2020,47,13,21,26,3,7
01.11.2020,46,11,24,17,6,4
31.10.2020,55,21,26,13,6,2
30.10.2020,48,19,24,17,4,3
29.10.2020,44,12,25,19,3,3
28.10.2020,50,10,24,20,3,4
27.10.2020,42,11,21,19,5,2
26.10.2020,48,11,18,20,5,2
25.10.2020,31,10,17,22,5,2
24.10.2020,41,7,21,13,6,1
23.10.2020,48,7,27,11,5,1
22.10.2020,56,12,21,19,2,2
21.10.2020,49,12,22,17,3,2
20.10.2020,56,11,23,9,6,2
19.10.2020,57,15,21,5,6,2
18.10.2020,62,15,25,10,3,3
17.10.2020,51,15,6,14,1,5
16.10.2020,42,10,12,14,,2
15.10.2020,37,11,16,16,,3
14.10.2020,32,12,13,11,,2
13.10.2020,29,10,18,11,,2
12.10.2020,35,13,14,13,1,4
11.10.2020,26,16,13,24,2,5
10.10.2020,37,11,18,10,,6
09.10.2020,49,13,17,21,,8
08.10.2020,35,17,14,21,2,6
07.10.2020,45,12,19,14,1,2
06.10.2020,39,16,16,13,1,4
05.10.2020,42,12,18,13,3,3
04.10.2020,33,13,19,15,2,3
03.10.2020,49,7,23,17,5,2
02.10.2020,78,14,23,19,5,2
01.10.2020,47,12,18,21,4,2
30.09.2020,39,15,21,24,3,5
29.09.2020,58,14,22,16,1,2
28.09.2020,51,16,12,16,,3
27.09.2020,37,17,13,19,,4
26.09.2020,37,13,23,11,,1
